DataZon,CIF,crime_rate,overcrowded_count,Employment_rate,DEPRESS,DRUG,Noquals,SMR,nocentralheat_rate,Clst_KM,BMU,hier_cluster
S01008819,0.098039215686275,0.069524337340188,0.116326530612245,0.094339622641509,0.492398843146287,0.000000000000000,0.087626478455435,0.403284671532847,0.231393014853472,5,112.000000000000000,1
S01008820,0.274509803921569,0.099584289880251,0.530612244897959,0.339622641509434,0.471698839279086,0.168115665438198,0.392643461966600,0.186131386861314,0.253165844479479,1,54.000000000000000,4
S01008821,0.039215686274510,0.031572114249744,0.189795918367347,0.056603773584906,0.247177669702745,0.032151879484037,0.114768733777352,0.177007299270073,0.104144583421666,4,38.000000000000000,1
S01008822,0.058823529411765,0.033443378718915,0.077551020408163,0.075471698113208,0.209320673765714,0.036038494506756,0.108643733888034,0.043795620437956,0.088518114247102,5,24.000000000000000,1
S01008823,0.068627450980392,0.067378938309439,0.085714285714286,0.056603773584906,0.328887560271851,0.000000000000000,0.127831109076798,0.138686131386861,0.023690397251191,5,78.000000000000000,1
S01008824,0.049019607843137,0.036143870522404,0.138775510204082,0.037735849056604,0.319984611334655,0.022718254344224,0.115057819584481,0.147810218978102,0.149176368955294,5,48.000000000000000,1
S01008825,0.068627450980392,0.046109183280034,0.055102040816327,0.037735849056604,0.327424087840589,0.180330186630999,0.116957729376882,0.138686131386861,0.170182493040519,5,37.000000000000000,1
S01008826,0.117647058823529,0.059786901986474,0.289795918367347,0.207547169811321,0.458633896785300,0.080143178818396,0.187179861675738,0.195255474452555,0.281393323657474,2,50.000000000000000,1
S01008827,0.049019607843137,0.060281690140845,0.016326530612245,0.037735849056604,0.264095753057903,0.000000000000000,0.011960916476243,0.149635036496350,0.099151213710331,5,45.000000000000000,1
S01008828,0.049019607843137,0.041336016096579,0.226530612244898,0.075471698113208,0.254613680508164,0.000000000000000,0.131960695448507,0.124087591240876,0.151328455910666,4,38.000000000000000,1
S01008829,0.078431372549020,0.049076002828368,0.087755102040816,0.075471698113208,0.295391738780077,0.112221736226347,0.240856506645810,0.129562043795620,0.076052249637155,5,90.000000000000000,1
S01008830,0.088235294117647,0.059027358767045,0.063265306122449,0.094339622641509,0.197883728705069,0.031656962161412,0.107036078608768,0.080291970802920,0.114795848508914,5,24.000000000000000,1
S01008831,0.049019607843137,0.063705881258489,0.042857142857143,0.075471698113208,0.319773180381015,0.000000000000000,0.066094398494465,0.085766423357664,0.019160450489981,5,56.000000000000000,1
S01008832,0.049019607843137,0.050484045713487,0.065306122448980,0.056603773584906,0.250096167035333,0.217452797063560,0.180240547472731,0.155109489051095,0.049646733981213,5,59.000000000000000,1
S01008833,0.078431372549020,0.009905442041923,0.104081632653061,0.056603773584906,0.249293926190351,0.060648392784536,0.054681686296405,0.138686131386861,0.130485585671870,5,25.000000000000000,1
